
138;100
278;200
418;300
558;400
698;500
838;600
978;700
1118;800
1258;900
1398;1000
1538;1100
1678;1200
1818;1300
1958;1400
2098;1500
2238;1600
2378;1700
2518;1800
2658;1900
2798;2000
2938;2100
3078;2200
3218;2300
3358;2400
3498;2500
3638;2600
3778;2700
3918;2800
4058;2900
4198;3000
4338;3100
4478;3200
111;31;80;74;
111;31;80;75;
111;31;80;74;
111;31;80;74;
111;31;80;75;
111;31;80;74;
111;31;80;74;
111;31;80;75;
111;31;80;75;
111;31;80;74;
111;31;80;75;
111;31;80;74;
111;31;80;507;
221;61;160;519;
331;91;240;496;
441;121;320;164;
